Anio	Host Pais	Host Ciudad	Pais	Oro	Plata	Bronce	Continente	Region	Poblacion	PIB
1896	Greece	Athens	Hungary	2	1	3	Europe	Eastern Europe	9981334	13900.0
1896	Greece	Athens	France	5	4	2	Europe	Western Europe	60876136	27600.0
1896	Greece	Athens	United States	11	7	2	Americas	Northern America	298444215	37800.0
1896	Greece	Athens	Germany	6	5	2	Europe	Western Europe	82422299	27600.0
1896	Greece	Athens	Austria	2	1	2	Europe	Western Europe	8192880	30000.0
1896	Greece	Athens	Greece	10	18	19	Europe	Southern Europe	10688058	20000.0
1896	Greece	Athens	Switzerland	1	2	0	Europe	Western Europe	7523934	32700.0
1896	Greece	Athens	Australia	2	0	0	Oceania	Australia and New Zealand	20264082	29000.0
1896	Greece	Athens	Denmark	1	2	3	Europe	Northern Europe	5450661	31100.0
1900	France	Paris	Italy	3	2	0	Europe	Southern Europe	58133509	26700.0
1900	France	Paris	Germany	4	3	2	Europe	Western Europe	82422299	27600.0
1900	France	Paris	Australia	2	0	3	Oceania	Australia and New Zealand	20264082	29000.0
1900	France	Paris	Hungary	1	2	2	Europe	Eastern Europe	9981334	13900.0
1900	France	Paris	Denmark	1	3	2	Europe	Northern Europe	5450661	31100.0
1900	France	Paris	France	27	38	37	Europe	Western Europe	60876136	27600.0
1900	France	Paris	Switzerland	6	2	1	Europe	Western Europe	7523934	32700.0
1900	France	Paris	United States	19	14	15	Americas	Northern America	298444215	37800.0
1900	France	Paris	Cuba	1	1	0	Americas	Latin America and the Caribbean	11382820	2900.0
1900	France	Paris	India	0	2	0	Asia	Southern Asia	1095351995	2900.0
1900	France	Paris	Netherlands	0	2	3	Europe	Western Europe	16491461	28600.0
1900	France	Paris	Belgium	6	7	4	Europe	Western Europe	10379067	29100.0
1900	France	Paris	Sweden	0	0	1	Europe	Northern Europe	9016596	26800.0
1900	France	Paris	Spain	1	0	0	Europe	Southern Europe	40397842	22000.0
1900	France	Paris	Canada	1	0	1	Americas	Northern America	33098932	29800.0
1900	France	Paris	Luxembourg	1	0	0	Europe	Western Europe	474413	55100.0
1900	France	Paris	Norway	0	2	3	Europe	Northern Europe	4610820	37800.0
1900	France	Paris	Austria	0	3	3	Europe	Western Europe	8192880	30000.0
1904	United States	St. Louis	Cuba	3	0	0	Americas	Latin America and the Caribbean	11382820	2900.0
1904	United States	St. Louis	Hungary	2	1	1	Europe	Eastern Europe	9981334	13900.0
1904	United States	St. Louis	United States	76	78	77	Americas	Northern America	298444215	37800.0
1904	United States	St. Louis	Germany	4	5	6	Europe	Western Europe	82422299	27600.0
1904	United States	St. Louis	Canada	4	1	1	Americas	Northern America	33098932	29800.0
1904	United States	St. Louis	Greece	1	0	1	Europe	Southern Europe	10688058	20000.0
1904	United States	St. Louis	Australia	0	3	1	Oceania	Australia and New Zealand	20264082	29000.0
1904	United States	St. Louis	France	0	1	0	Europe	Western Europe	60876136	27600.0
1904	United States	St. Louis	Switzerland	1	0	2	Europe	Western Europe	7523934	32700.0
1904	United States	St. Louis	Norway	2	0	0	Europe	Northern Europe	4610820	37800.0
1904	United States	St. Louis	Austria	1	1	1	Europe	Western Europe	8192880	30000.0
1908	Great Britain	London	Canada	3	3	10	Americas	Northern America	33098932	29800.0
1908	Great Britain	London	Hungary	3	4	2	Europe	Eastern Europe	9981334	13900.0
1908	Great Britain	London	Italy	2	2	0	Europe	Southern Europe	58133509	26700.0
1908	Great Britain	London	Norway	2	3	3	Europe	Northern Europe	4610820	37800.0
1908	Great Britain	London	Germany	3	5	5	Europe	Western Europe	82422299	27600.0
1908	Great Britain	London	United States	23	12	12	Americas	Northern America	298444215	37800.0
1908	Great Britain	London	France	5	5	9	Europe	Western Europe	60876136	27600.0
1908	Great Britain	London	Sweden	8	6	11	Europe	Northern Europe	9016596	26800.0
1908	Great Britain	London	Denmark	0	2	3	Europe	Northern Europe	5450661	31100.0
1908	Great Britain	London	Greece	0	3	1	Europe	Southern Europe	10688058	20000.0
1908	Great Britain	London	Austria	0	0	1	Europe	Western Europe	8192880	30000.0
1908	Great Britain	London	Netherlands	0	0	2	Europe	Western Europe	16491461	28600.0
1908	Great Britain	London	Belgium	1	5	2	Europe	Western Europe	10379067	29100.0
1908	Great Britain	London	South Africa	1	1	0	Africa	Sub-Saharan Africa	44187637	10700.0
1908	Great Britain	London	Finland	1	1	3	Europe	Northern Europe	5231372	27400.0
1912	Sweden	Stockholm	Germany	6	13	7	Europe	Western Europe	82422299	27600.0
1912	Sweden	Stockholm	Italy	5	1	2	Europe	Southern Europe	58133509	26700.0
1912	Sweden	Stockholm	Norway	4	1	5	Europe	Northern Europe	4610820	37800.0
1912	Sweden	Stockholm	South Africa	4	2	0	Africa	Sub-Saharan Africa	44187637	10700.0
1912	Sweden	Stockholm	Sweden	24	24	17	Europe	Northern Europe	9016596	26800.0
1912	Sweden	Stockholm	United States	26	19	19	Americas	Northern America	298444215	37800.0
1912	Sweden	Stockholm	France	7	5	3	Europe	Western Europe	60876136	27600.0
1912	Sweden	Stockholm	Finland	9	8	9	Europe	Northern Europe	5231372	27400.0
1912	Sweden	Stockholm	Canada	3	2	3	Americas	Northern America	33098932	29800.0
1912	Sweden	Stockholm	Switzerland	1	0	0	Europe	Western Europe	7523934	32700.0
1912	Sweden	Stockholm	Netherlands	0	0	3	Europe	Western Europe	16491461	28600.0
1912	Sweden	Stockholm	Austria	0	2	2	Europe	Western Europe	8192880	30000.0
1912	Sweden	Stockholm	Greece	1	0	1	Europe	Southern Europe	10688058	20000.0
1912	Sweden	Stockholm	Hungary	3	2	3	Europe	Eastern Europe	9981334	13900.0
1912	Sweden	Stockholm	Denmark	1	6	5	Europe	Northern Europe	5450661	31100.0
1912	Sweden	Stockholm	Belgium	2	1	3	Europe	Western Europe	10379067	29100.0
1920	Belgium	Antwerp	Switzerland	2	2	7	Europe	Western Europe	7523934	32700.0
1920	Belgium	Antwerp	Brazil	1	1	1	Americas	Latin America and the Caribbean	188078227	7600.0
1920	Belgium	Antwerp	Australia	0	2	1	Oceania	Australia and New Zealand	20264082	29000.0
1920	Belgium	Antwerp	Denmark	3	9	1	Europe	Northern Europe	5450661	31100.0
1920	Belgium	Antwerp	South Africa	3	4	3	Africa	Sub-Saharan Africa	44187637	10700.0
1920	Belgium	Antwerp	Canada	3	3	3	Americas	Northern America	33098932	29800.0
1920	Belgium	Antwerp	Luxembourg	0	1	0	Europe	Western Europe	474413	55100.0
1920	Belgium	Antwerp	New Zealand	0	0	1	Oceania	Australia and New Zealand	4076140	21600.0
1920	Belgium	Antwerp	Japan	0	2	0	Asia	Eastern Asia	127463611	28200.0
1920	Belgium	Antwerp	Spain	0	2	0	Europe	Southern Europe	40397842	22000.0
1920	Belgium	Antwerp	Greece	0	1	0	Europe	Southern Europe	10688058	20000.0
1920	Belgium	Antwerp	Netherlands	4	2	5	Europe	Western Europe	16491461	28600.0
1920	Belgium	Antwerp	Belgium	16	12	14	Europe	Western Europe	10379067	29100.0
1920	Belgium	Antwerp	Finland	15	10	9	Europe	Northern Europe	5231372	27400.0
1920	Belgium	Antwerp	Sweden	19	20	25	Europe	Northern Europe	9016596	26800.0
1920	Belgium	Antwerp	Estonia	1	2	0	Europe	Northern Europe	1324333	12300.0
1920	Belgium	Antwerp	United States	41	27	27	Americas	Northern America	298444215	37800.0
1920	Belgium	Antwerp	France	9	19	13	Europe	Western Europe	60876136	27600.0
1920	Belgium	Antwerp	Italy	13	5	5	Europe	Southern Europe	58133509	26700.0
1920	Belgium	Antwerp	Norway	13	9	9	Europe	Northern Europe	4610820	37800.0
1924	France	Paris	Norway	5	2	3	Europe	Northern Europe	4610820	37800.0
1924	France	Paris	Sweden	4	13	12	Europe	Northern Europe	9016596	26800.0
1924	France	Paris	Denmark	2	5	2	Europe	Northern Europe	5450661	31100.0
1924	France	Paris	Netherlands	4	1	5	Europe	Western Europe	16491461	28600.0
1924	France	Paris	Belgium	3	7	3	Europe	Western Europe	10379067	29100.0
1924	France	Paris	Australia	3	1	2	Oceania	Australia and New Zealand	20264082	29000.0
1924	France	Paris	Switzerland	7	8	10	Europe	Western Europe	7523934	32700.0
1924	France	Paris	France	13	15	10	Europe	Western Europe	60876136	27600.0
1924	France	Paris	Finland	14	13	10	Europe	Northern Europe	5231372	27400.0
1924	France	Paris	United States	45	27	27	Americas	Northern America	298444215	37800.0
1924	France	Paris	Italy	8	3	5	Europe	Southern Europe	58133509	26700.0
1924	France	Paris	Haiti	0	0	1	Americas	Latin America and the Caribbean	8308504	1600.0
1924	France	Paris	Hungary	2	3	4	Europe	Eastern Europe	9981334	13900.0
1924	France	Paris	Romania	0	0	1	Europe	Eastern Europe	22303552	7000.0
1924	France	Paris	Poland	0	1	1	Europe	Eastern Europe	38536869	11100.0
1924	France	Paris	Canada	0	3	1	Americas	Northern America	33098932	29800.0
1924	France	Paris	Japan	0	0	1	Asia	Eastern Asia	127463611	28200.0
1924	France	Paris	New Zealand	0	0	1	Oceania	Australia and New Zealand	4076140	21600.0
1924	France	Paris	Portugal	0	0	1	Europe	Southern Europe	10605870	18000.0
1924	France	Paris	Austria	0	3	1	Europe	Western Europe	8192880	30000.0
1924	France	Paris	Argentina	1	3	2	Americas	Latin America and the Caribbean	39921833	11200.0
1924	France	Paris	Uruguay	1	0	0	Americas	Latin America and the Caribbean	3431932	12800.0
1924	France	Paris	South Africa	1	1	1	Africa	Sub-Saharan Africa	44187637	10700.0
1924	France	Paris	Estonia	1	1	4	Europe	Northern Europe	1324333	12300.0
1928	Netherlands	Amsterdam	Canada	4	4	7	Americas	Northern America	33098932	29800.0
1928	Netherlands	Amsterdam	Hungary	4	5	0	Europe	Eastern Europe	9981334	13900.0
1928	Netherlands	Amsterdam	Japan	2	2	1	Asia	Eastern Asia	127463611	28200.0
1928	Netherlands	Amsterdam	Argentina	3	3	1	Americas	Latin America and the Caribbean	39921833	11200.0
1928	Netherlands	Amsterdam	Denmark	3	1	2	Europe	Northern Europe	5450661	31100.0
1928	Netherlands	Amsterdam	Netherlands	6	9	4	Europe	Western Europe	16491461	28600.0
1928	Netherlands	Amsterdam	Germany	10	7	14	Europe	Western Europe	82422299	27600.0
1928	Netherlands	Amsterdam	Finland	8	8	9	Europe	Northern Europe	5231372	27400.0
1928	Netherlands	Amsterdam	South Africa	1	0	2	Africa	Sub-Saharan Africa	44187637	10700.0
1928	Netherlands	Amsterdam	United States	22	18	16	Americas	Northern America	298444215	37800.0
1928	Netherlands	Amsterdam	Switzerland	7	4	4	Europe	Western Europe	7523934	32700.0
1928	Netherlands	Amsterdam	France	6	10	5	Europe	Western Europe	60876136	27600.0
1928	Netherlands	Amsterdam	Sweden	7	6	12	Europe	Northern Europe	9016596	26800.0
1928	Netherlands	Amsterdam	Italy	7	5	7	Europe	Southern Europe	58133509	26700.0
1928	Netherlands	Amsterdam	Estonia	2	1	2	Europe	Northern Europe	1324333	12300.0
1928	Netherlands	Amsterdam	Uruguay	1	0	0	Americas	Latin America and the Caribbean	3431932	12800.0
1928	Netherlands	Amsterdam	Belgium	0	1	2	Europe	Western Europe	10379067	29100.0
1928	Netherlands	Amsterdam	New Zealand	1	0	0	Oceania	Australia and New Zealand	4076140	21600.0
1928	Netherlands	Amsterdam	Spain	1	0	0	Europe	Southern Europe	40397842	22000.0
1928	Netherlands	Amsterdam	Philippines	0	0	1	Asia	South-eastern Asia	89468677	4600.0
1928	Netherlands	Amsterdam	Portugal	0	0	1	Europe	Southern Europe	10605870	18000.0
1928	Netherlands	Amsterdam	Chile	0	1	0	Americas	Latin America and the Caribbean	16134219	9900.0
1928	Netherlands	Amsterdam	Haiti	0	1	0	Americas	Latin America and the Caribbean	8308504	1600.0
1928	Netherlands	Amsterdam	Australia	1	2	1	Oceania	Australia and New Zealand	20264082	29000.0
1928	Netherlands	Amsterdam	Norway	1	2	1	Europe	Northern Europe	4610820	37800.0
